"Country","Year","GINI_Index","Democratization_Level","Education_Expenditure","GDP_per_Capita"
"Costa Rica",1997,25.6,25.6,4.39,6383.37
"Ecuador",1997,18.7,18.7,2.13333333333333,3596.18
"El Salvador",1997,16.5,16.5,2.47826086956522,317.45
"Guatemala",1997,5.9,5.9,1.707,2996.69
"Mexico",1997,19.8,19.8,3.47666666666667,7904.51
"Nicaragua",1997,18.9,18.9,2.355,1610.3
"Panama",1997,28.5,28.5,3.85,6393.4
"Paraguay",1997,10.9,10.9,3.805,3126.5
"Peru",1997,11.2,11.2,3.2,3911.87
"Uruguay",1997,42.5,42.5,2.555,8783.36
"Argentina",1998,25.3,25.3,4.04,9886.61
"Brazil",1998,27.4,27.4,4.76,6818.91
"Chile",1998,21.5,21.5,3.32,8265.49
"Colombia",1998,17.2,17.2,3.93,5610.61
"Costa Rica",1998,20.9,20.9,4.89,6790.19
"Ecuador",1998,14.2,14.2,2.2,3607.84
"El Salvador",1998,16.5,16.5,2.55,311.18
"Guatemala",1998,5.9,5.9,1.854,3075.64
"Mexico",1998,19.8,19.8,3.37,8339.92
"Nicaragua",1998,18.9,18.9,2.23,1655.73
"Panama",1998,31.9,31.9,4.21,6772.76
"Paraguay",1998,14.1,14.1,4.2,3201.34
"Peru",1998,11.2,11.2,3.28,3803.35
"Uruguay",1998,42.5,42.5,2.24,8888.03
"Argentina",1999,26.1,26.1,4.52,9222.31
"Brazil",1999,27.4,27.4,3.8,6537.19
"Chile",1999,21.5,21.5,3.71,7910.92
"Colombia",1999,14.8,14.8,4.44,5257.72
"Costa Rica",1999,20.9,20.9,5.39,7189.92
"Ecuador",1999,14.2,14.2,1.55,3419.43
"El Salvador",1999,18.5,18.5,2.56,286.9
"Guatemala",1999,7.7,7.7,2.001,3188.64
"Mexico",1999,19.8,19.8,3.54,8543.34
"Nicaragua",1999,18.9,18.9,2.92,1963.69
"Panama",1999,25,25,4.57,6815.56
"Paraguay",1999,0,0,4.23,3023.15
"Peru",1999,11.2,11.2,3.44,3787.05
"Uruguay",1999,30.8,30.8,2.33,8392.7
"Argentina",2000,26.1,26.1,4.58,9053.94
"Brazil",2000,27.4,27.4,3.95,6677.57
"Chile",2000,23,23,3.76,8299.2
"Colombia",2000,14.8,14.8,3.51,5375.45
"Costa Rica",2000,20.9,20.9,4.67,7264.27
"Ecuador",2000,14.2,14.2,1.15,3659.64
"El Salvador",2000,10.7,10.7,2.84,349.81
"Guatemala",2000,6.1,6.1,2.148,3370.33
"Mexico",2000,21.2,21.2,3.99,9549.6
"Nicaragua",2000,18.9,18.9,3,1866.25
"Panama",2000,25,25,4.76,7212.09
"Paraguay",2000,11,11,4.23,2950.98
"Peru",2000,8.5,8.5,3.23,3943.76
"Uruguay",2000,30.8,30.8,2.42,8197.64
"Argentina",2001,26.1,26.1,4.83,8612.66
"Brazil",2001,27.4,27.4,3.84,6646.47
"Chile",2001,23,23,3.905,8296.71
"Colombia",2001,14.8,14.8,3.71,5443.55
"Costa Rica",2001,20.9,20.9,4.83,7099.04
"Ecuador",2001,14.2,14.2,1.50444444444444,3976.16
"El Salvador",2001,10.7,10.7,3.04,305.52
"Guatemala",2001,6.1,6.1,2.295,3483.54
"Mexico",2001,21.2,21.2,4.24,9779.35
"Nicaragua",2001,18.2,18.2,2.695,1923.47
"Panama",2001,25,25,4.11,7254.27
"Paraguay",2001,11,11,3.83,3101.47
"Peru",2001,18.9,18.9,3.04,3988.59
"Uruguay",2001,30.8,30.8,2.8,7910.52
"Argentina",2002,26.1,26.1,4.02,7402.7
"Brazil",2002,27,27,3.75,6651.05
